ID	X		Y		Field_Belonging
0	0.878034		1.68429		0
1	-0.086818		-0.0751891		0
2	1.03327		1.03361		0
3	1.74484		0.473363		0
4	1.46253		3.12468		0
5	1.2007		1.37172		0
6	2.02096		0.872158		0
7	1.78341		0.663187		0
8	0.312845		0.0641581		0
9	2.30842		-1.67237		0
10	0.22726		-1.01529		0
11	0.478434		1.05037		0
12	0.105375		0.81532		0
13	0.986834		0.320546		0
14	0.926262		1.37691		0
15	1.85825		0.250728		0
16	2.40231		0.664768		0
17	1.8059		1.67257		0
18	2.21152		0.714885		0
19	1.04648		2.15087		0
20	-0.314275		0.529041		0
21	0.868918		1.07227		0
22	2.67327		0.594392		0
23	0.989757		0.684743		0
24	0.39304		0.0118787		0
25	-0.596327		1.79714		0
26	2.1047		0.0282512		0
27	-0.325569		2.56957		0
28	1.15874		2.41817		0
29	0.838096		-0.99364		0
30	1.56796		1.5156		0
31	0.985853		-0.197543		0
32	2.11675		-0.435722		0
33	1.55733		0.885973		0
34	1.94101		0.582096		0
35	0.781158		-0.048327		0
36	0.865154		1.74611		0
37	-0.100944		0.917555		0
38	1.09585		1.01884		0
39	0.933256		2.14174		0
40	0.84215		2.10216		0
41	2.32769		1.45057		0
42	1.13261		1.12692		0
43	1.05901		-0.852437		0
44	1.9906		1.93007		0
45	0.773841		1.99091		0
46	0.258097		3.00478		0
47	1.04264		0.878239		0
48	1.77581		2.34531		0
49	-1.85657		0.735568		0
50	0.50532		0.419811		0
51	0.588026		2.6031		0
52	1.91513		-0.241215		0
53	1.49117		1.56144		0
54	1.55205		0.0745416		0
55	0.862863		0.0110333		0
56	0.295699		0.616616		0
57	1.91775		2.20344		0
58	0.642592		0.550559		0
59	0.662588		0.726033		0
60	2.19776		1.6975		0
61	1.54741		2.32223		0
62	-0.655215		1.07019		0
63	1.89707		-0.0279239		0
64	2.65698		1.15769		0
65	1.71824		0.851899		0
66	-0.866578		3.47052		0
67	1.57659		1.80038		0
68	-0.952629		-1.13356		0
69	-0.0404925		-0.010663		0
70	0.844759		2.17403		0
71	0.733942		1.90508		0
72	3.03893		-0.0730014		0
73	0.500035		1.32423		0
74	1.31033		0.84566		0
75	-1.12505		2.19979		0
76	2.57041		2.05627		0
77	0.604691		1.81418		0
78	1.247		1.00822		0
79	1.40382		0.780477		0
80	-0.469965		2.44558		0
81	1.22772		1.87612		0
82	0.171799		0.351301		0
83	-0.420598		0.689191		0
84	0.503954		3.24665		0
85	0.169763		-1.49473		0
86	1.2541		-0.806954		0
87	0.733707		1.83245		0
88	0.989207		1.25587		0
89	0.509147		2.6859		0
90	0.815049		0.0518404		0
91	0.776027		1.28928		0
92	0.504917		1.24477		0
93	-0.576811		1.37372		0
94	2.98181		1.23254		0
95	0.423447		-0.43776		0
96	0.735939		1.89347		0
97	-0.256577		1.49806		0
98	0.245265		1.75639		0
99	1.81392		1.81667		0
100	0.880736		1.64817		0
101	1.04673		-0.182057		0
102	-0.305385		0.689159		0
103	0.369954		0.694796		0
104	1.40392		0.85004		0
105	1.14568		1.03766		0
106	0.89903		0.254778		0
107	1.0502		1.03288		0
108	0.278943		0.729284		0
109	1.53379		0.18682		0
110	1.80094		1.79891		0
111	-0.802389		2.03265		0
112	0.817888		-0.577618		0
113	1.57472		0.726927		0
114	-0.677354		1.14443		0
115	0.374313		-0.492811		0
116	1.41792		0.232778		0
117	1.71834		-1.2343		0
118	-0.0408945		-0.634306		0
119	1.54737		2.13593		0
120	2.2676		2.1216		0
121	1.03662		-0.451895		0
122	-0.518594		1.25941		0
123	1.10489		0.483593		0
124	0.280658		0.821602		0
125	-0.408842		-0.563931		0
126	1.08286		1.43031		0
